subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16192935,United States of America,North Carolina,Wayne,"Town of Fremont, along NC Rt.222, east of Evans Farm Road, growing along roadside ditch.",,,feet,35,32,52.71,- 77,59,01.95,"Longbottom, Wayne D.",,"16,167",,9 - September,25,2011,,,,R0001220.JPG,NYBG 3196996,Senna obtusifolia,8e37959f-dfa6-44b6-a201-b94215340016
16192937,United States of America,Arizona,Maricopa,"Salt Rivr at 35th Avenue bridge in Phoenix, just downstream from storm water/effluent drain with periodic large pulses of discharge; riparian, growing along terrace above storm drain, plant community of sedges, cattail, and other wetland species.",1022,,feet,33.411913,,,- 112.133472,,,"Makings, Liz","Dustin Wolkis, Julie Stromberg, Heather Bateman",3869,,1 - January,21,2012,,,,R0001205.JPG,NYBG 3196995,Senna artemisioides,90a9d5ee-a1c6-4dd3-b6b1-6932ea796abd
16192938,Gabon,Ogooué-Lolo,,"Makande surroundings, c. 65 km SSW of Booué. In forest.",,,,- 0,41 S,,11,55 E,,"Breteler, F. J.",G. Caballé; Y. Azizet Issembé; J.-M. Moussavou; O. Pascal; R.H.M.J. Lemmens & M.S.M. Sosef,15011,,2 - February,11,1999,,,,R0001202.JPG,NYBG 3196994,Scorodophloeus zenkeri,90f68e06-c5cb-48dc-9de1-5c0512314486
16192939,"Tanzania, United Republic of",Tanga,,"Mkaramo Parish, Mkwaja Subchiefeom, Mwera Chiefdom, Pangani Diestrict",150,,feet,,,,,,,"Tanner, R. E. S.",Zigua: Mhande,3597,,7 - July,10,1957,,,,R0001201.JPG,NYBG 3196992,Scorodophloeus fischeri,90fb8362-a4ed-407d-a8b1-32dc56506101
16192941,Congo (Democratic Republic of the),Kasaï-Central,,Babadi - Kasai,,,unknown,,,,,,,Gillardin,,125,,12 - December,Not Shown,1934,,,,R0001199.JPG,NYBG 3196991,Leonardoxa romii,911525c9-04f7-4213-8781-a9842216c2d8
16192942,South Africa,Natal,Ubombo,2732 CC Ubombo. Natal. 17 m. N. of Hluhluwe on Mkuze rd.,,,,,,,,,,"Ross, J. H.",,1981,,2 - February,16,1969,,,,R0001198.JPG,NYBG 3196990,Schotia capitata,9117928a-8600-4ab1-a05d-1f827be3eebe
16192943,South Africa,Eastern Cape,Sarah Baartman,Kommadagga.,1000,,feet,,,,,,,"Bayliss, R. D. A.",,8397,,1 - January,2,1978,,,,R0001197.JPG,NYBG 3196989,Schotia latifolia,911c17c2-6f62-424a-a47e-55216f95a486
16192944,Congo (Democratic Republic of the),,,"Prov. Leopoldville, Territ. Boma, Loc. Luki, vieille forêt",,,,,,,,,,"Wagemans, J.",,1065,,10 - October,29,1955,,,,R0001195.JPG,NYBG 3196988,Leonardoxa bequaertii,9143aff7-3d15-4111-b7d6-27566f5e388b
16192945,Mexico,Veracruz,Tlacotepec de Mejía,"3 km W of Maria Oscura, Hwy 125 WSW from Puente Nacional to Huatusco, approx. 20 km NE of Huatusco.",1080,,meters,19,12,,- 96,51,,"Hughes, C. E.",,1880,,12 - December,6,1993,,,,R0001193.JPG,NYBG 3196987,Schizolobium parahyba,9159da14-048a-49d7-816c-1e382bf59105
16192946,China,Guangdong,,Guangzhou,,,,,,,,,,"Yip, H. G.",,137,,4 - April,3,1981,Not shown,Not shown,Not shown,R0001191.JPG,NYBG 3196986,Saraca dives,919d81bc-0f76-47f8-ae4b-6da283a6a0f8
16192948,Yemen,Ibb,,"Ibb Governorate, ca. 2 air miles W of Ibb, near Acama.",2000,,meters,,,,,,,"Spellenberg, Richard",,7287,,7 - July,12,1983,,,,R0001185.JPG,NYBG 3196985,Pterolobium stellatum,922084dd-94b5-45f8-b45b-8144aea17e21
16192949,Viet Nam,Ha Giang,Meo Vac,Meo Vac town.,1075,,meters,23,9.45 N,,105,24.37 E,,"Tan, Le Dong","Phan Ke Loc, Pham Van The",407,NY-HN 407,6 - June,6,2006,,,,R0001184.JPG,NYBG 3196984,Pterolobium microphyllum,9269ee52-b816-429b-aeb1-011aa106103f
16192950,India,Tamil Nadu,,Western Ghats. Palni Hills: along road from Kodai Kanal to Palni. [map],800,1000,meters,,,,,,,"Klackenberg, J.",R. Lundin,133,,9 - September,28,1982,,,,R0001183.JPG,NYBG 3196983,Pterolobium membranulaceum,92cb76c1-1a06-4ff0-853f-8fabe1257573
16192951,India,Mysore,,Arsikere-Hassan road.,,,,13 N,,,76 E,,,"Saldanha, C. J.",,13532,13532,5 - May,26,1969,,,,R0001182.JPG,NYBG 3196982,Pterolobium hexapetalum,92e1039a-8f51-46c5-950e-fb2fbb5f406a
16192953,China,Guangxi,Baldwin,"Yangso, on rocks",180,,meters,79102,,,1979,,,"Wan, P. P.",K. S. Chow,79102,ujuj,Not Shown,Not Shown,1979,Not shown,Not shown,Not shown,R0001181.JPG,NYBG 3196981,Pterolobium punctatum,949108d9-0568-4485-a1bb-78ae145ec32e
16192954,Panama,Colon,,Canal Zone. Trail along Rio Petitpie from road to Ft. Sherman from Gatun Locks (S2 or 82). Edge of Prioria swamp near road cf. Combertac.,,,,,,,,,,"Mori, S.",J. Kallunki,2702,,10 - October,22,1974,,,,R0001179.JPG,NYBG 3196980,Prioria copaifera,931f2818-bd16-412d-bf6c-2cb3d9fbb024
16192955,South Africa,Northern Cape,,"Postmasburg; 5 miles WNW of Moeswal, W of Langeberg Mts.","4,000",,feet,,,,,,,"Leistner, O. A.",,1678,,3 - March,19,1960,,,,R0001178.JPG,NYBG 3196979,Pomaria burchellii,93445eed-c722-4917-90cc-59d775946095
16192956,Mexico,Chihuahua,,"7 mi SE of Tomas Garcia, SE end of Sierra de Mapula, 1.5 mi off rd towards mts. Rancho El Ojito, vicinity of Pico Ojito. Chaparral-grassland w/many cacti, Mimosa & Cassia; N-slope; suffrutescent with Bouvardia and Rhus.",5200,5200,feet,28,28,,105,45,,"Lehto, Elinor","D.J. Pinkava, B. Parfitt, T. Reeves",21580,#L21580,7 - July,19,1977,,,,R0001174.JPG,NYBG 3196978,Pomaria multijuga,939816bb-94ad-48e2-b144-9fe6221213b4
16192958,Mexico,Zacatecas,Fresnillo,"Chapultepec mountains, 21 miles N of Fresnillo.",7000,,feet,,,,,,,"Walker, Sally",,72,76H72,8 - August,13,1976,,,,R0001173.JPG,NYBG 3196977,Pomaria glandulosa,949aef93-4ab0-40db-b1cb-2636bdedbfe7
16192959,Mexico,Nuevo León,Galeana,3 km west of San Rafael.,,,,,,,,,,"Ripley, H. D.",,14921,"14,921",8 - August,19,1968,,,,R0001172.JPG,NYBG 3196976,Pomaria canescens,93c8baeb-0b51-4f4c-802b-212893874b74
16192960,Mexico,Tamaulipas,San Fernando,"Mpio. San Fernando: on road to Menez, 16 km W of main highway leading north from San Fernando.",100,,meters,,,,,,,"Fryxell, Paul A.",,3724,,9 - September,25,1981,,,,R0001171.JPG,NYBG 3196975,Pomaria austrotexana,939934c9-ab3f-400e-8e37-e2b57760f29d
